IMIĘ PIERWSZE,LICZBA WYSTĄPIENIEŃ
FILOMENA,4
POLIANNA,4
CLAUDIA,4
NIKOLINA,4
MELA,4
TEODORA,4
NAWOJA,4
ŻANETA,4
PETRA,4
YULIANA,4
EWANGELINA,4
STANISLAVA,4
BERNADETA,4
YASMIN,4
ILIANA,4
AMY,4
RUTA,4
LIZAVETA,4
MARYIA,4
SOŁOMIJA,4
AVA,4
BIBIANA,4
PALINA,4
LATIKA,4
MILANIYA,4
LIANNA,4
PATRICIA,4
MARISA,4
NORA,4
MARTINA,4
OLIVIYA,4
NILA,4
ALESIA,4
JAGIENKA,4
ALIYA,4
VICTORIIA,4
KALA,4
SAFIA,4
ELLINA,3
ZAYA,3
LEXI,3
ELYZAVETA,3
ZELIA,3
KAIA,3
NICA,3
INGRID,3
AURIKA,3
KAIRA,3
ANNABELLE,3
LILLIANNA,3
LEAH,3
WIRGINIA,3
KARMELA,3
KASJANA,3
ALICA,3
DŻESIKA,3
DALIDA,3
YULIYA,3
SENA,3
GRACIELA,3
ESTELLA,3
ZHASMIN,3
MILAGROS,3
ALESSIA,3
FRANKA,3
JUTRZENKA,3
GIA HAN,3
KATALEIA,3
NADIYA,3
DOBROCHNA,3
ASYA,3
ADELAIDA,3
YULIA,3
MIRRA,3
ALIANA,3
ILIA,3
ANIA,3
SKYE,3
NALA,3
KASANDRA,3
FRIDA,3
MADDISON,3
NEYLA,3
VIVIANA,3
MINH ANH,3
SAMANTHA,3
FIONA,3
IGNACJA,3
JULIIA,3
AIDA,3
ŻAKLINA,3
MARIETA,3
GOJA,3
EULALIA,3
XENIA,3
TEODOZJA,3
HAILEY,3
ROSALIE,3
AMELIE,3
KATARINA,3
JAROSŁAWA,3
ANZHELIKA,3
KVITOSLAVA,3
AGLAYA,3
AUDREY,3
EMA,3
LUCIE,3
EDA,3
VIERA,3
FABIOLA,3
INNA,3
ZUZIA,3
LIUBOV,3
CAMILA,3
ULLA,3
ISMENA,3
INESS,3
RUFINA,3
SAMUELA,3
ELZA,3
ALISIA,3
ATENA,3
LILIYA,3
WIOLETA,3
KATALINA,3
NEONILA,3
ANGELA,3
KASJA,3
MIKAELA,3
IRMA,3
MIŁANA,3
NIA,3
ELLEN,3
VIVIAN,3
CAMILLA,3
DANAE,3
WESNA,3
ZELDA,3
ROSALIA,3
ŻYWIA,3
ODA,3
REBECA,3
ILANA,3
VESNA,3
LEYA,3
TUE NHI,3
NAYA,3
PELAGIA,3
KIMBERLY,3
KLARYSA,3
LYUBOV,3
GIULIA,3
SASKIA,3
FELIKSA,3
SYNTIA,3
AYLIN,3
HANIFA,2
PÉNÉLOPE,2
MIŁOCHNA,2
NAYLA,2
ASTERIA,2
VIORIKA,2
KHANH LINH,2
MERVE,2
RIYA,2
ENOLA,2
ANI,2
KARYNA,2
ALFIJA,2
MELANIJA,2
SYLVIIA,2
ELLENA,2
GRACE,2
ADELINE,2
TU UYEN,2
SIMONA,2
MARUSIA,2
VASYLISA,2
KORALIA,2
ARYANA,2
ZOI,2
YASMINE,2
MAILY,2
ROBERTA,2
KRISTÝNA,2
SUMMER,2
DITA,2
MINA,2
ROZALIIA,2
ALIX,2
AYESHA,2
KORDELIA,2
ALEKSA,2
ESME,2
DAMARIS,2
VIOLETA,2
MERI,2
LETIZIA,2
MIRAL,2
ELIŠKA,2
LIORA,2
ALIZA,2
ARNIKA,2
SAFIJA,2
NEVADA,2
MALENA,2
OKTAVIA,2
YESENIYA,2
LINH CHI,2
ROZALINA,2
KAJLA,2
AGNIA,2
REBEKKA,2
VALERIE,2
BOZHENA,2
NURANA,2
AZRA,2
CHARLOTTA,2
SOFÍA,2
DANELIYA,2
RUSLANA,2
LILJANNA,2
ANNA-MARIA,2
LATINA,2
VIOLET,2
EMILIYA,2
FOTIMA,2
JOSEPHINE,2
BAO VY,2
AGLAJA,2
MEERA,2
ANABEL,2
JULIETA,2
VAIANA,2
ZITA,2
AYSU,2
KAILA,2
AMELI,2
AYALA,2
ASEL,2
NADJA,2
KHANH AN,2
MIRANDA,2
RAMONA,2
USTINA,2
MARY,2
ANTONELLA,2
LIEIA,2
DAR'IA,2
AMELIYA,2
LOTTA,2
SŁAWA,2
MAJIA,2
CHANEL,2
RIANA,2
IWA,2
VASYLYNA,2
MATILDE,2
BEATRIX,2
HA MY,2
PENELOPE,2
ZURI,2
DENISA,2
LUCJA,2
CELESTYNA,2
ELISABETA,2
ERICA,2
IVA,2
AURA,2
EMELI,2
IULIANA,2
MILLA,2
DĄBRÓWKA,2
MILIENA,2
MIŁA,2
ELLI,2
ZŁATA,2
EMILLY,2
CHLOÉ,2
ELENE,2
LEJLA,2
SVIATOSLAVA,2
NATASHA,2
WANESA,2
ŻASMIN,2
MIRABELLA,2
SYLVIA,2
RADOCHNA,2
ILLIA,2
CYNTHIA,2
OLYMPIA,2
ESENIA,2
NADIJA,2
MAEVE,2
YARINA,2
LAVINIA,2
DASZA,2
BIBIANNA,2
ELIS,2
DESPINA,2
GIA LINH,2
LILIBET,2
CECILIA,2
BOGUSŁAWA,2
EUFEMIA,2
RADMILA,2
YEKATERINA,2
EMMANUELLA,2
NASTYA,2
DARIYA,2
NATHALIE,2
CELINE,2
ISLA,2
MILLIE,2
IASMINA,2
ARIELLA,2
AIVA,2
ARYA,2
HARPER,2
LIGIA,2
