Nazwisko,Liczba wystąpień
STANEK,5591
MAJCHER,5586
DZIUBA,5584
CHOLEWA,5558
STOLARCZYK,5519
KACZMARSKA,5515
KAŁUŻNA,5499
JEZIERSKA,5492
SŁOWIŃSKA,5491
JAŚKIEWICZ,5481
SŁAWIŃSKA,5466
MATUSZAK,5451
WIĘCEK,5442
ZWOLIŃSKA,5442
GOŁĄB,5435
RUSIN,5432
JACKOWSKA,5430
GÓRAL,5425
OLCZAK,5420
FLOREK,5414
MISZTAL,5409
SIEDLECKA,5409
KASZUBA,5392
RUCIŃSKA,5387
ZAGÓRSKA,5386
DOMINIAK,5365
FLORCZAK,5361
MOTYKA,5357
GRZYWACZ,5343
SIERADZKA,5332
MALICKA,5327
PAWLIKOWSKA,5324
PACZKOWSKA,5320
WOLAK,5314
MODZELEWSKA,5297
KUCHTA,5294
ŚWIERCZYŃSKA,5294
BOŻEK,5290
SOCHACKA,5277
IWAŃSKA,5276
PYTEL,5275
MICHAŁEK,5245
BIEŃKOWSKA,5243
KULIG,5243
JANKOWIAK,5238
KUC,5232
DUDZIAK,5229
KOZA,5224
KNAPIK,5220
STĘPNIAK,5219
CZECHOWSKA,5205
NOGA,5204
GWÓŹDŹ,5187
STACHURA,5184
JANUSZ,5182
ADAMUS,5174
GAŁKA,5173
SITEK,5171
PROKOP,5169
FILIPOWICZ,5167
KĘPA,5167
WOJTAS,5166
JURKOWSKA,5164
SKÓRA,5159
PARTYKA,5155
KWIECIŃSKA,5148
DUDZIK,5136
SKALSKA,5125
SZYSZKA,5125
DOBRZYŃSKA,5121
DEC,5115
PŁONKA,5114
MAŃKOWSKA,5100
ADAMEK,5089
BIELAK,5087
PASZKOWSKA,5085
ADAMCZAK,5068
KAPUSTA,5064
KOLASA,5064
STANISŁAWSKA,5059
BRODA,5056
MROCZKOWSKA,5056
WŁODARSKA,5054
ROSA,5020
KRUSZEWSKA,5017
SZATKOWSKA,5015
KOWALCZUK,5013
SUSKA,5008
MAJKA,4999
TOMALA,4990
CHOJNOWSKA,4977
LIPKA,4964
MOLENDA,4964
WOŚ,4962
NIEMCZYK,4958
SZCZERBA,4955
PUCHALSKA,4951
MICHALCZYK,4928
TRZECIAK,4924
JANUSZEWSKA,4902
SKOWRONEK,4897
KOTOWSKA,4892
WYSZYŃSKA,4892
BUCZYŃSKA,4885
AUGUSTYN,4884
GŁOGOWSKA,4872
CHMURA,4869
LENART,4863
NIEDZIELSKA,4860
ADAMOWICZ,4857
SALAMON,4831
ZDUNEK,4823
ZIĘTEK,4820
ŻUK,4818
PIECHOTA,4817
KITA,4811
KOBUS,4797
ADAMIAK,4795
STOLARSKA,4790
DRABIK,4788
MAŚLANKA,4782
KANIEWSKA,4781
MROZEK,4781
WARCHOŁ,4770
PRZYBYŁ,4757
BANASIK,4749
KOPER,4748
BUDZYŃSKA,4746
WYPYCH,4740
BĄKOWSKA,4738
KOŁAKOWSKA,4724
JAGIELSKA,4719
SOŁTYSIAK,4717
KOGUT,4715
DRÓŻDŻ,4707
PILCH,4696
NIEDŹWIECKA,4695
BUCZKOWSKA,4673
MIŚKIEWICZ,4673
GRZESIK,4670
GORCZYCA,4661
TOKARZ,4659
KIEŁBASA,4658
MALIK,4654
RUDZIŃSKA,4643
KAWA,4630
ROBAK,4630
MARCHEWKA,4624
CHUDZIK,4623
STAŃCZAK,4617
PORĘBSKA,4614
SOJKA,4614
KŁOSOWSKA,4611
BIAŁKOWSKA,4605
URBANEK,4605
KALISZ,4604
JARZĄBEK,4597
DĄBKOWSKA,4596
PIŁAT,4592
JURCZAK,4589
MACIĄG,4589
BALCERZAK,4576
CICHA,4575
